composite,setting,chip,parcel_id,full_px,hectares,native_10m_px,best_iou,found,width_native_px,is_null,draw,objects,seconds
true,0.70/0.88,g0_0073.tif,369,64,0.2356,23.56,0.0512,0,3.034,1,0,218,65.06
true,0.70/0.88,g0_0073.tif,365,44,0.162,16.2,0.0558,0,3.034,1,1,218,65.06
true,0.70/0.88,g0_0073.tif,366,37,0.1362,13.62,0.0826,0,3.034,1,1,218,65.06
true,0.70/0.88,g0_0073.tif,367,81,0.2982,29.82,0.1782,0,3.231,1,1,218,65.06
true,0.70/0.88,g0_0073.tif,368,56,0.2062,20.62,0.115,0,3.034,1,1,218,65.06
true,0.70/0.88,g0_0073.tif,369,64,0.2356,23.56,0.1535,0,3.034,1,1,218,65.06
true,0.70/0.88,g0_0073.tif,365,44,0.162,16.2,0.1119,0,3.034,1,2,218,65.06
true,0.70/0.88,g0_0073.tif,366,37,0.1362,13.62,0.0858,0,3.034,1,2,218,65.06
true,0.70/0.88,g0_0073.tif,367,81,0.2982,29.82,0.2066,0,3.231,1,2,218,65.06
true,0.70/0.88,g0_0073.tif,368,56,0.2062,20.62,0.1485,0,3.034,1,2,218,65.06
