composite,setting,chip,parcel_id,full_px,hectares,native_10m_px,best_iou,found,width_native_px,is_null,draw,objects,seconds
true,0.70/0.88,g0_0073.tif,366,37,0.1362,13.62,0.0007,0,3.034,0,0,204,73.1
true,0.70/0.88,g0_0073.tif,367,81,0.2982,29.82,0.271,0,3.231,0,0,204,73.1
true,0.70/0.88,g0_0073.tif,368,56,0.2062,20.62,0.2126,0,3.034,0,0,204,73.1
true,0.70/0.88,g0_0073.tif,369,64,0.2356,23.56,0.2392,0,3.034,0,0,204,73.1
true,0.70/0.88,g0_0073.tif,365,44,0.162,16.2,0.1611,0,3.034,1,0,204,73.1
true,0.70/0.88,g0_0073.tif,366,37,0.1362,13.62,0.25,0,3.034,1,0,204,73.1
true,0.70/0.88,g0_0073.tif,367,81,0.2982,29.82,0.4,0,3.231,1,0,204,73.1
true,0.70/0.88,g0_0073.tif,368,56,0.2062,20.62,0.1697,0,3.034,1,0,204,73.1
true,0.70/0.88,g0_0073.tif,369,64,0.2356,23.56,0.1939,0,3.034,1,0,204,73.1
true,0.70/0.88,g0_0073.tif,365,44,0.162,16.2,0.0739,0,3.034,1,1,204,73.1
true,0.70/0.88,g0_0073.tif,366,37,0.1362,13.62,0.0882,0,3.034,1,1,204,73.1
true,0.70/0.88,g0_0073.tif,367,81,0.2982,29.82,0.0877,0,3.231,1,1,204,73.1
true,0.70/0.88,g0_0073.tif,368,56,0.2062,20.62,0.071,0,3.034,1,1,204,73.1
true,0.70/0.88,g0_0073.tif,369,64,0.2356,23.56,0.0864,0,3.034,1,1,204,73.1
true,0.70/0.88,g0_0073.tif,365,44,0.162,16.2,0.1803,0,3.034,1,2,204,73.1
true,0.70/0.88,g0_0073.tif,366,37,0.1362,13.62,0.0725,0,3.034,1,2,204,73.1
true,0.70/0.88,g0_0073.tif,367,81,0.2982,29.82,0.1993,0,3.231,1,2,204,73.1
true,0.70/0.88,g0_0073.tif,368,56,0.2062,20.62,0.2125,0,3.034,1,2,204,73.1
