country,chip,parcel_id,full_px,hectares,native_10m_px,best_iou,found,width_native_px
india,g0_1399.tif,6993,331,1.2185,121.85,0.3585,0,8.635
india,g0_1399.tif,6994,219,0.8062,80.62,0.3739,0,5.928
india,g0_1399.tif,6995,214,0.7878,78.78,0.1705,0,6.674
india,g0_1399.tif,6996,192,0.7068,70.68,0.4907,0,5.461
india,g0_1399.tif,6997,418,1.5388,153.88,0.5613,1,9.761
india,g0_1402.tif,7008,161,0.5927,59.27,0.3769,0,6.674
india,g0_1402.tif,7009,110,0.4049,40.49,0.7377,1,4.247
india,g0_1402.tif,7010,89,0.3276,32.76,0.246,0,3.034
india,g0_1402.tif,7011,106,0.3902,39.02,0.3172,0,3.768
india,g0_1402.tif,7012,215,0.7915,79.15,0.6438,1,7.888
india,g0_1460.tif,7298,115,0.4233,42.33,0.4824,0,4.247
india,g0_1460.tif,7299,98,0.3608,36.08,0.2176,0,3.231
india,g0_1460.tif,7300,118,0.4344,43.44,0.303,0,4.247
india,g0_1460.tif,7301,101,0.3718,37.18,0.3739,0,3.034
india,g0_1460.tif,7302,202,0.7436,74.36,0.379,0,6.674
india,g0_1489.tif,7443,147,0.5411,54.11,0.3616,0,4.82
india,g0_1489.tif,7444,194,0.7142,71.42,0.2526,0,6.674
india,g0_1489.tif,7445,257,0.9461,94.61,0.2863,0,7.888
india,g0_1489.tif,7446,255,0.9387,93.87,0.4176,0,5.461
india,g0_1489.tif,7447,184,0.6774,67.74,0.7526,1,5.581
india,g0_1494.tif,7468,130,0.4786,47.86,0.6614,1,5.461
india,g0_1494.tif,7469,227,0.8357,83.57,0.2632,0,7.888
india,g0_1494.tif,7470,91,0.335,33.5,0.503,1,5.461
india,g0_1494.tif,7471,257,0.9461,94.61,0.5175,1,8.871
india,g0_1494.tif,7472,382,1.4062,140.62,0.2408,0,7.888
india,g0_1504.tif,7518,48,0.1767,17.67,0.4388,0,3.034
india,g0_1504.tif,7519,76,0.2798,27.98,0.3699,0,4.247
india,g0_1504.tif,7520,79,0.2908,29.08,0.7527,1,4.82
india,g0_1504.tif,7521,36,0.1325,13.25,0.2793,0,3.034
india,g0_1504.tif,7522,43,0.1583,15.83,0.2735,0,3.034
india,g0_1507.tif,7533,23,0.0847,8.47,0.1474,0,2.107
india,g0_1507.tif,7534,27,0.0994,9.94,0.1731,0,2.825
india,g0_1507.tif,7535,41,0.1509,15.09,0.1833,0,2.825
india,g0_1507.tif,7536,23,0.0847,8.47,0.1187,0,1.82
india,g0_1507.tif,7537,38,0.1399,13.99,0.1902,0,2.825
india,g0_1539.tif,7693,158,0.5816,58.16,0.2336,0,6.469
india,g0_1539.tif,7694,128,0.4712,47.12,0.6576,1,5.461
india,g0_1539.tif,7695,352,1.2958,129.58,0.6847,1,8.635
india,g0_1539.tif,7696,929,3.4199,341.99,0.2909,0,13.597
india,g0_1539.tif,7697,329,1.2111,121.11,0.3239,0,7.974
india,g0_1550.tif,7748,108,0.3976,39.76,0.4651,0,4.397
india,g0_1550.tif,7749,99,0.3644,36.44,0.233,0,4.82
india,g0_1550.tif,7750,80,0.2945,29.45,0.3544,0,4.247
india,g0_1550.tif,7751,128,0.4712,47.12,0.4029,0,5.461
india,g0_1550.tif,7752,64,0.2356,23.56,0.3289,0,3.034
india,g0_1607.tif,8033,354,1.3032,130.32,0.3222,0,10.315
india,g0_1607.tif,8034,300,1.1044,110.44,0.52,1,9.101
india,g0_1607.tif,8035,562,2.0689,206.89,0.2347,0,11.528
india,g0_1607.tif,8036,245,0.9019,90.19,0.6593,1,7.888
india,g0_1607.tif,8037,361,1.3289,132.89,0.2283,0,9.101
