parcel_id,objects_over,best_iou,chip
1278,3,0.1075,g1_0255.tif
1279,3,0.1016,g1_0255.tif
1280,2,0.2698,g1_0255.tif
1317,2,0.4,g1_0263.tif
1318,4,0.5373,g1_0263.tif
1319,3,0.1333,g1_0263.tif
1320,1,0.1227,g1_0263.tif
1321,6,0.1832,g1_0264.tif
1322,2,0.1869,g1_0264.tif
1323,2,0.3143,g1_0264.tif
1324,1,0.4225,g1_0264.tif
1325,3,0.3765,g1_0264.tif
2371,1,0.0493,g1_0474.tif
2372,2,0.1531,g1_0474.tif
2373,1,0.1478,g1_0474.tif
2374,2,0.068,g1_0474.tif
2375,2,0.1538,g1_0474.tif
2411,4,0.1356,g1_0482.tif
2412,2,0.1538,g1_0482.tif
2413,4,0.4846,g1_0482.tif
2414,4,0.4459,g1_0482.tif
2415,4,0.7895,g1_0482.tif
2651,2,0.5094,g1_0530.tif
2652,3,0.1503,g1_0530.tif
2653,2,0.1429,g1_0530.tif
2654,2,0.2078,g1_0530.tif
2655,4,0.284,g1_0530.tif
2946,3,0.3118,g1_0589.tif
2947,2,0.4941,g1_0589.tif
2948,3,0.3969,g1_0589.tif
2949,3,0.5905,g1_0589.tif
2950,3,0.1156,g1_0589.tif
3652,6,0.4444,g1_0730.tif
3653,4,0.3837,g1_0730.tif
3654,4,0.6522,g1_0730.tif
3655,4,0.1812,g1_0730.tif
3656,7,0.6028,g1_0730.tif
3877,2,0.2111,g1_0775.tif
3878,3,0.1949,g1_0775.tif
3879,2,0.7576,g1_0775.tif
3880,3,0.1051,g1_0775.tif
3881,3,0.5591,g1_0775.tif
4082,3,0.1921,g1_0817.tif
4083,1,0.1962,g1_0817.tif
4084,3,0.4,g1_0817.tif
4085,1,0.696,g1_0817.tif
4086,3,0.4867,g1_0817.tif
4447,4,0.1654,g1_0890.tif
4448,4,0.2479,g1_0890.tif
4449,4,0.5699,g1_0890.tif
4450,4,0.1531,g1_0890.tif
4451,3,0.2604,g1_0890.tif
5057,3,0.2647,g1_1012.tif
5058,4,0.2558,g1_1012.tif
5059,5,0.6842,g1_1012.tif
5060,3,0.7255,g1_1012.tif
5061,4,0.383,g1_1012.tif
5357,3,0.3118,g1_1072.tif
5358,2,0.1905,g1_1072.tif
5359,2,0.1389,g1_1072.tif
5360,2,0.2917,g1_1072.tif
5361,3,0.1463,g1_1072.tif
5677,4,0.1833,g1_1136.tif
5678,3,0.3774,g1_1136.tif
5679,5,0.3004,g1_1136.tif
5680,2,0.5273,g1_1136.tif
5681,3,0.2825,g1_1136.tif
5952,2,0.2432,g1_1191.tif
5953,2,0.1413,g1_1191.tif
5954,4,0.1287,g1_1191.tif
5955,3,0.2065,g1_1191.tif
5956,4,0.1895,g1_1191.tif
6237,2,0.139,g1_1248.tif
6238,1,0.1019,g1_1248.tif
6239,2,0.1801,g1_1248.tif
6240,3,0.148,g1_1248.tif
6241,2,0.2006,g1_1248.tif
7648,2,0.1233,g1_1530.tif
7649,2,0.1727,g1_1530.tif
7650,3,0.2014,g1_1530.tif
7651,2,0.2086,g1_1530.tif
7652,3,0.1544,g1_1530.tif
7778,3,0.5263,g1_1556.tif
7779,1,0.396,g1_1556.tif
7780,2,0.4727,g1_1556.tif
7781,6,0.593,g1_1556.tif
7782,7,0.5224,g1_1556.tif
7888,5,0.1355,g1_1578.tif
7889,3,0.1695,g1_1578.tif
7890,2,0.4565,g1_1578.tif
7891,6,0.5541,g1_1578.tif
7892,3,0.2895,g1_1578.tif
8513,3,0.2571,g1_1703.tif
8514,3,0.178,g1_1703.tif
8515,1,0.22,g1_1703.tif
8516,3,0.1863,g1_1703.tif
8517,3,0.236,g1_1703.tif
8733,3,0.16,g1_1747.tif
8734,3,0.3455,g1_1747.tif
8735,2,0.1713,g1_1747.tif
8736,4,0.6909,g1_1747.tif
8737,3,0.3333,g1_1747.tif
9138,2,0.0563,g1_1828.tif
9139,3,0.0733,g1_1828.tif
9140,2,0.0727,g1_1828.tif
9141,2,0.1772,g1_1828.tif
9142,1,0.1743,g1_1828.tif
